carat,cut,color,clarity,depth,table,price,x,y,z,cluster
0.53,4,6,4,60.5,60.0,1242,5.23,5.19,3.15,1
0.51,3,3,3,63.5,60.0,1046,5.03,5.05,3.2,1
0.4,3,4,3,63.4,58.0,1007,4.74,4.66,2.98,1
0.71,3,2,3,62.4,58.0,2061,5.67,5.7,3.55,1
0.52,4,3,4,62.9,58.0,1105,5.14,5.04,3.2,1
0.48,3,6,3,62.3,55.0,1914,5.02,5.05,3.13,1
0.53,2,8,2,63.9,55.0,1318,5.14,5.1,3.27,1
0.52,5,5,5,62.2,55.0,1577,5.18,5.14,3.21,1
0.54,2,6,2,60.6,61.0,1563,5.22,5.3,3.19,1
0.81,5,4,5,61.4,57.0,2375,6.0,5.96,3.67,1
0.41,5,8,5,61.3,54.0,1151,4.8,4.83,2.95,1
0.75,4,2,4,61.6,57.0,1998,5.88,5.84,3.61,1
0.69,3,3,3,63.3,57.0,2070,5.64,5.57,3.55,1
0.71,5,2,5,62.6,57.0,1609,5.7,5.65,3.55,1
0.3,5,5,5,62.3,55.0,1013,4.31,4.29,2.68,1
0.58,4,6,4,61.9,57.0,2036,5.47,5.36,3.35,1
0.32,5,8,5,61.7,55.0,1140,4.44,4.41,2.73,1
0.41,5,5,5,61.8,55.0,1000,4.76,4.79,2.95,1
0.51,5,4,5,61.7,55.0,1354,5.12,5.16,3.17,1
0.74,3,7,3,63.3,59.0,1632,5.82,5.78,3.67,1
0.52,4,6,4,60.2,59.0,1451,5.19,5.21,3.13,1
0.58,5,6,5,60.4,57.0,2245,5.42,5.37,3.26,1
0.7,2,7,2,64.2,60.0,2394,5.58,5.64,3.6,1
0.7,3,4,3,61.4,54.0,2138,5.77,5.66,3.51,1
0.53,3,4,3,63.4,56.0,1607,5.16,5.13,3.26,1
0.7,3,3,3,63.1,57.0,2398,5.63,5.68,3.57,1
0.36,5,8,5,61.0,56.0,1126,4.57,4.61,2.8,1
0.52,4,7,4,60.3,58.0,1369,5.2,5.24,3.15,1
