carat,cut,color,clarity,depth,table,price,x,y,z,cluster
1.0,4,6,4,59.2,61.0,3562,6.59,6.51,3.87,2
1.02,4,4,4,61.9,58.0,4604,6.43,6.47,3.99,2
0.93,5,8,5,61.6,57.0,4724,6.27,6.33,3.88,2
1.03,5,7,5,58.9,56.0,4035,6.61,6.57,3.88,2
1.02,4,3,4,62.0,59.0,3856,6.45,6.42,3.99,2
0.7,2,7,2,65.5,57.0,2657,5.46,5.54,3.6,2
0.9,2,3,2,63.5,59.0,3176,6.05,6.1,3.86,2
1.09,5,6,5,61.2,57.0,4891,6.6,6.64,4.05,2
1.0,4,7,4,62.8,59.0,4200,6.34,6.3,3.97,2
1.01,5,6,5,62.4,56.0,3733,6.44,6.38,4.0,2
0.53,5,6,5,61.9,54.0,2802,5.22,5.25,3.24,2
0.7,5,6,5,62.5,57.0,3683,5.62,5.67,3.53,2
0.71,5,4,5,62.1,54.0,2918,5.7,5.76,3.56,2
1.01,3,4,3,63.3,57.0,4559,6.32,6.27,3.99,2
1.0,3,5,3,63.3,56.0,3920,6.38,6.29,4.01,2
1.02,1,5,1,65.3,58.0,3787,6.33,6.22,4.1,2
0.9,2,6,2,63.3,57.0,3116,6.08,6.14,3.87,2
0.92,4,5,4,61.6,62.0,4287,6.3,6.24,3.86,2
0.77,3,8,3,63.1,57.0,3428,5.86,5.83,3.69,2
1.0,4,4,4,61.3,60.0,2818,6.43,6.39,3.93,2
0.73,5,8,5,61.5,58.0,4196,5.76,5.79,3.55,2
0.7,4,7,4,61.0,57.0,2777,5.73,5.68,3.48,2
1.13,3,6,3,62.3,59.0,4282,6.65,6.68,4.15,2
1.2,3,4,3,58.6,57.0,3696,6.96,7.01,4.09,2
1.03,3,7,3,62.1,59.0,4668,6.43,6.46,4.0,2
0.61,5,6,5,61.8,55.0,2634,5.43,5.47,3.37,2
0.91,3,7,3,62.9,55.0,4823,6.13,6.17,3.87,2
0.71,3,8,3,62.5,58.0,3333,5.68,5.71,3.56,2
1.08,3,6,3,63.4,55.0,3847,6.53,6.5,4.13,2
1.22,5,6,5,62.0,57.0,4852,6.88,6.83,4.25,2
0.79,4,5,4,59.3,62.0,2839,6.09,6.01,3.59,2
0.9,2,7,2,64.0,58.0,4278,6.02,6.07,3.87,2
0.53,5,8,5,62.2,55.0,3812,5.17,5.19,3.22,2
0.9,3,5,3,61.0,60.0,4210,6.21,6.24,3.8,2
1.11,4,3,4,61.3,59.0,3692,6.69,6.63,4.09,2
0.93,3,5,3,62.5,57.8,3933,6.15,6.28,3.87,2
0.76,3,7,3,60.8,60.0,2831,5.89,5.98,3.61,2
0.97,4,7,4,61.0,61.0,4915,6.32,6.28,3.84,2
1.01,5,3,5,61.9,59.0,4638,6.38,6.42,3.96,2
1.21,5,4,5,62.9,57.0,4249,6.78,6.74,4.25,2
0.81,3,6,3,61.3,57.0,2858,6.02,6.05,3.7,2
1.04,4,8,4,58.2,59.0,4330,6.67,6.62,3.87,2
1.01,2,3,2,62.6,59.0,3823,6.34,6.43,4.0,2
1.34,3,4,3,61.1,63.0,4352,7.08,7.01,4.3,2
1.01,3,3,3,61.4,62.0,4693,6.39,6.45,3.94,2
1.03,5,5,5,62.4,57.0,4764,6.52,6.47,4.05,2
0.81,4,5,4,63.0,60.0,2832,5.87,5.81,3.68,2
1.17,4,6,4,59.6,60.0,4324,6.88,6.85,4.09,2
1.05,5,4,5,60.6,57.0,3234,6.59,6.55,3.98,2
1.02,4,4,4,62.5,54.0,4284,6.44,6.4,4.01,2
0.81,5,6,5,61.9,57.0,2977,5.98,6.01,3.71,2
0.7,4,6,4,60.7,60.0,2792,5.78,5.75,3.5,2
1.16,5,3,5,59.3,56.0,4869,6.84,6.88,4.07,2
0.71,3,6,3,62.4,58.0,2553,5.64,5.68,3.53,2
0.9,3,7,3,60.6,60.0,4709,6.14,6.27,3.76,2
1.04,3,5,3,60.3,62.0,4084,6.5,6.56,3.94,2
0.77,4,7,4,61.7,58.0,2988,5.86,5.9,3.63,2
0.92,3,8,3,61.6,58.0,4327,6.19,6.22,3.82,2
0.7,5,8,5,62.6,58.0,3287,5.64,5.67,3.54,2
0.54,5,6,5,62.2,54.0,2729,5.24,5.27,3.27,2
1.0,3,5,3,62.6,59.0,4844,6.29,6.33,3.95,2
0.9,2,5,2,63.9,57.0,4223,6.08,6.03,3.87,2
