carat,cut,color,clarity,depth,table,price,x,y,z,cluster
2.01,3,6,3,63.4,58.0,13275,8.03,7.96,5.07,4
2.04,3,4,3,63.2,58.0,13790,8.1,8.0,5.09,4
1.13,5,7,5,60.6,57.0,14525,6.72,6.77,4.09,4
1.55,4,6,4,61.6,56.0,15801,7.45,7.38,4.57,4
2.02,5,4,5,62.3,56.0,12332,8.11,8.06,5.04,4
1.53,5,6,5,62.2,55.0,12616,7.35,7.37,4.57,4
1.51,3,5,3,62.7,57.0,14938,7.33,7.38,4.61,4
1.5,2,6,2,58.6,64.0,13160,7.52,7.46,4.39,4
2.01,4,3,4,60.1,59.0,14558,8.24,8.19,4.94,4
1.07,4,8,4,60.9,58.0,18279,6.67,6.57,4.03,4
2.01,3,7,3,62.7,57.0,17676,8.03,8.11,5.06,4
2.04,4,4,4,62.2,60.0,12341,8.07,8.0,5.0,4
2.4,5,2,5,62.0,57.0,12468,8.53,8.47,5.27,4
2.01,5,4,5,60.1,57.0,15562,8.24,8.2,4.94,4
2.23,4,2,4,62.1,59.0,13069,8.29,8.33,5.16,4
2.31,3,3,3,62.5,55.0,17715,8.39,8.44,5.26,4
2.0,4,3,4,62.5,57.0,17574,8.01,7.92,4.98,4
1.68,4,6,4,60.7,62.0,12681,7.72,7.66,4.67,4
2.04,3,2,3,62.4,57.0,13825,8.04,8.19,5.06,4
2.02,2,3,2,57.9,63.0,17533,8.13,8.21,4.73,4
1.5,5,5,5,61.8,56.0,13377,7.38,7.31,4.54,4
1.78,5,6,5,60.9,56.0,18128,7.85,7.88,4.79,4
1.24,5,8,5,61.6,55.0,12417,6.92,6.9,4.26,4
1.54,4,5,4,61.1,56.0,14438,7.54,7.48,4.59,4
2.39,3,2,3,59.6,60.0,17920,8.71,8.77,5.21,4
2.0,1,4,1,65.1,56.0,14430,7.86,7.77,5.09,4
2.01,4,3,4,62.9,58.0,14444,8.05,8.0,5.05,4
2.28,3,4,3,63.3,54.0,12907,8.36,8.29,5.27,4
1.61,3,7,3,62.3,57.0,13047,7.43,7.47,4.64,4
2.14,5,4,5,63.0,55.0,12720,8.25,8.23,5.19,4
1.53,5,5,5,62.8,57.0,12907,7.48,7.43,4.63,4
2.03,4,2,4,61.6,58.0,12380,8.15,8.12,5.01,4
1.7,4,3,4,58.0,60.0,12030,7.88,7.84,4.56,4
1.5,5,5,5,62.3,57.0,14067,7.25,7.32,4.54,4
2.03,4,3,4,61.2,58.0,16787,8.21,8.16,5.01,4
1.0,2,8,2,63.3,59.0,15928,6.33,6.37,4.02,4
2.03,2,3,2,62.7,61.0,15339,8.04,7.93,5.01,4
2.16,4,2,4,60.5,59.0,14328,8.41,8.35,5.07,4
1.54,4,7,4,62.7,58.0,15178,7.33,7.37,4.61,4
2.33,4,2,4,59.9,59.0,14711,8.7,8.65,5.2,4
1.51,3,6,3,60.0,60.0,16402,7.39,7.42,4.44,4
2.13,1,4,1,64.5,58.0,13370,8.09,8.01,5.19,4
1.52,5,8,5,61.2,57.0,13329,7.47,7.4,4.55,4
2.16,2,3,2,63.6,56.0,14266,8.18,8.12,5.18,4
1.63,3,6,3,59.7,62.0,12282,7.65,7.73,4.59,4
1.74,5,4,5,61.9,55.0,12720,7.74,7.71,4.78,4
1.57,4,4,4,62.1,56.0,12098,7.47,7.43,4.63,4
2.05,5,6,5,62.0,56.0,17957,8.12,8.19,5.06,4
1.53,4,5,4,61.3,58.0,12228,7.48,7.4,4.56,4
1.51,5,8,5,62.3,56.0,12688,7.3,7.4,4.58,4
1.54,5,6,5,60.3,57.0,18416,7.49,7.56,4.54,4
2.0,3,4,3,63.3,59.0,16872,8.02,8.0,5.07,4
2.03,3,8,3,62.4,59.0,18120,7.98,8.04,5.0,4
1.51,4,6,4,60.5,61.0,18102,7.5,7.4,4.45,4
1.55,5,4,5,60.6,57.0,12087,7.51,7.47,4.54,4
1.55,5,6,5,62.1,54.0,12373,7.42,7.45,4.61,4
2.02,4,4,4,61.5,58.0,17166,8.14,8.1,4.99,4
1.53,4,5,4,61.8,59.0,12717,7.45,7.31,4.56,4
2.03,5,2,5,60.5,57.0,14083,8.26,8.2,4.98,4
1.5,3,7,3,59.3,60.0,12247,7.4,7.5,4.42,4
1.51,4,7,4,62.7,58.0,16518,7.25,7.33,4.57,4
2.35,4,3,4,59.9,58.0,17294,8.68,8.61,5.18,4
1.55,5,5,5,62.5,57.0,15794,7.35,7.33,4.59,4
1.71,2,3,2,63.7,58.0,12755,7.58,7.54,4.81,4
1.51,4,7,4,60.1,58.0,15025,7.57,7.51,4.53,4
1.6,3,5,3,61.0,57.0,14383,7.55,7.59,4.62,4
1.11,5,8,5,62.3,56.0,12390,6.59,6.64,4.12,4
2.0,4,5,4,59.0,62.0,14918,6.16,6.15,4.82,4
1.51,3,6,3,62.6,57.0,12141,7.25,7.31,4.56,4
2.29,4,3,4,61.8,59.0,18797,8.52,8.45,5.24,4
1.7,4,7,4,62.3,57.0,15662,7.68,7.6,4.76,4
1.19,5,6,5,61.5,55.0,15005,6.82,6.84,4.2,4
2.18,5,2,5,60.3,57.0,16427,8.41,8.45,5.08,4
1.87,5,4,5,59.7,60.0,17761,7.98,8.04,4.78,4
1.14,3,7,3,63.3,57.0,12647,6.63,6.71,4.22,4
2.14,5,7,5,62.7,55.0,13065,8.26,8.21,5.16,4
1.38,5,6,5,62.9,56.0,15968,7.04,7.1,4.45,4
1.5,3,6,3,63.8,59.0,16116,7.17,7.25,4.6,4
2.01,5,5,5,62.8,56.0,15841,8.07,8.02,5.05,4
2.03,4,4,4,62.6,59.0,17975,8.06,8.1,5.06,4
1.72,5,5,5,62.8,57.0,12830,7.65,7.58,4.78,4
1.78,4,4,4,60.2,59.0,15460,7.83,7.96,4.75,4
1.66,4,8,4,62.0,59.0,14354,7.6,7.55,4.7,4
1.52,2,5,2,64.0,58.0,13903,7.22,7.18,4.61,4
2.01,5,7,5,62.2,57.0,17688,8.04,8.09,5.02,4
2.18,3,2,3,62.6,58.0,12853,8.23,8.25,5.16,4
1.7,5,3,5,63.0,55.0,12030,7.75,7.54,4.76,4
1.76,4,7,4,60.5,58.0,15805,7.93,7.84,4.77,4
2.14,5,3,5,60.7,57.0,14267,8.4,8.34,5.08,4
2.29,4,5,4,62.5,59.0,14108,8.38,8.33,5.22,4
1.62,4,5,4,59.4,58.0,15188,7.74,7.68,4.58,4
1.71,4,5,4,60.6,58.0,13666,7.79,7.75,4.71,4
1.5,3,5,3,61.1,60.0,13528,7.4,7.3,4.49,4
1.91,3,5,3,63.1,59.0,15241,7.9,7.86,4.97,4
2.7,3,4,3,63.1,56.0,14341,8.84,8.78,5.56,4
1.07,3,8,3,60.9,58.0,18114,6.57,6.67,4.03,4
2.01,3,4,3,60.7,56.0,18561,8.08,8.17,4.93,4
1.52,5,5,5,62.4,55.0,15959,7.3,7.39,4.58,4
2.01,5,4,5,61.9,57.0,14040,8.09,8.06,5.0,4
2.06,4,3,4,62.7,60.0,13198,8.11,8.06,5.07,4
1.75,5,5,5,61.5,57.0,17343,7.76,7.72,4.76,4
2.21,4,4,4,62.9,60.0,13369,8.27,8.23,5.19,4
2.04,4,4,4,62.5,61.0,18115,8.08,8.04,5.04,4
1.54,3,8,3,63.0,59.0,13196,7.31,7.35,4.62,4
2.02,5,3,5,61.5,58.0,16018,8.19,8.11,5.01,4
1.57,3,8,3,62.3,59.0,12304,7.39,7.44,4.62,4
2.08,5,7,5,60.2,60.0,18128,8.28,8.32,5.0,4
2.02,1,4,1,66.3,57.0,13502,7.71,7.79,5.14,4
2.5,1,5,1,67.0,57.0,14194,8.36,8.29,5.58,4
2.13,5,3,5,62.0,55.0,15718,8.25,8.27,5.12,4
1.5,3,5,3,62.5,59.0,12672,7.23,7.27,4.53,4
