carat,cut,color,clarity,depth,table,price,x,y,z,cluster
1.02,5,6,5,62.7,57.0,6734,6.47,6.44,4.05,3
1.02,3,7,3,58.9,58.0,5232,6.51,6.54,3.84,3
1.51,2,3,2,63.7,58.0,8313,7.22,7.26,4.61,3
1.52,4,4,4,61.1,59.0,11066,7.45,7.38,4.53,3
1.21,5,6,5,61.1,55.0,6659,6.87,6.85,4.19,3
1.16,5,5,5,62.5,56.0,7451,6.67,6.73,4.19,3
1.05,4,5,4,59.5,61.0,8702,6.69,6.63,3.96,3
1.57,4,2,4,61.3,59.0,8595,7.44,7.47,4.57,3
1.0,5,7,5,62.2,53.9,5728,6.4,6.5,4.0,3
1.06,4,7,4,63.0,58.0,8044,6.49,6.46,4.08,3
1.54,4,6,4,62.8,57.0,7494,7.36,7.28,4.6,3
1.52,5,6,5,62.3,55.1,11971,7.29,7.39,4.58,3
1.04,3,5,3,61.7,58.0,8225,6.47,6.6,4.03,3
1.5,2,5,2,57.9,61.0,8144,7.47,7.51,4.34,3
1.51,5,3,5,62.7,57.0,8400,7.35,7.3,4.59,3
1.13,4,4,4,60.6,58.0,5885,6.81,6.72,4.1,3
1.22,2,3,2,57.2,60.0,5431,7.07,7.01,4.03,3
1.49,3,6,3,62.6,53.6,6064,7.28,7.31,4.57,3
1.6,3,3,3,60.0,58.0,10346,7.61,7.68,4.59,3
2.01,5,2,5,62.9,54.0,11011,8.06,7.93,5.05,3
1.24,4,3,4,62.1,55.0,5889,6.91,6.87,4.28,3
1.2,4,6,4,60.1,59.0,7282,6.92,6.85,4.14,3
1.58,5,3,5,62.6,56.0,9176,7.45,7.51,4.68,3
1.11,5,7,5,62.8,55.0,5004,6.62,6.6,4.15,3
1.75,3,2,3,61.5,59.0,10681,7.75,7.83,4.79,3
1.0,5,5,5,61.2,56.0,8239,6.47,6.5,3.97,3
1.13,4,4,4,62.8,59.0,5571,6.63,6.58,4.15,3
1.03,5,5,5,62.0,57.0,7119,6.45,6.48,4.0,3
1.01,3,8,3,63.1,58.0,7575,6.34,6.3,3.99,3
1.5,4,8,4,60.5,59.0,11489,7.44,7.39,4.49,3
1.2,3,4,3,62.5,59.0,6019,6.66,6.72,4.18,3
1.01,5,7,5,62.9,56.0,5375,6.41,6.38,4.02,3
1.03,3,5,3,62.3,57.0,6036,6.43,6.51,4.03,3
1.07,4,7,4,61.3,59.0,5033,6.64,6.58,4.05,3
1.04,2,7,2,63.5,56.0,5285,6.37,6.41,4.06,3
1.3,5,5,5,62.0,57.0,11175,7.03,6.96,4.34,3
1.07,4,5,4,63.0,55.0,5091,6.55,6.47,4.1,3
1.15,4,5,4,62.6,58.0,5851,6.71,6.65,4.18,3
1.35,5,4,5,61.5,58.0,7609,7.08,7.11,4.36,3
1.21,2,7,2,64.2,58.0,6708,6.65,6.59,4.25,3
1.53,5,3,5,61.9,58.0,8637,7.39,7.34,4.56,3
1.01,5,5,5,61.6,57.0,6271,6.44,6.41,3.96,3
1.5,3,4,3,60.6,60.0,10380,7.45,7.36,4.49,3
1.1,4,6,4,60.5,57.0,9486,6.7,6.69,4.05,3
1.14,4,6,4,61.1,59.0,6033,6.75,6.7,4.11,3
1.2,5,4,5,61.6,57.0,8275,6.82,6.85,4.21,3
1.01,2,5,2,58.9,61.0,5756,6.46,6.55,3.83,3
1.37,5,3,5,61.5,56.0,6343,7.14,7.11,4.38,3
1.5,4,5,4,62.3,58.0,10428,7.27,7.33,4.55,3
1.01,3,3,3,61.7,59.0,5165,6.45,6.51,4.0,3
1.33,4,3,4,59.7,59.0,5094,7.21,7.15,4.29,3
1.51,3,3,3,63.5,57.0,8214,7.19,7.24,4.58,3
1.02,4,6,4,62.7,59.0,6220,6.41,6.44,4.03,3
1.0,4,5,4,62.4,60.0,6377,6.39,6.37,3.98,3
1.2,4,4,4,62.5,58.0,6416,6.77,6.73,4.23,3
0.91,4,6,4,63.0,56.0,5708,6.17,6.12,3.87,3
